,order_date,sales_qty,sales_amount,currency,user_id,r_id
87,2019-09-13,2,1417,INR,43518,321587.0
88,2019-09-20,1,630,INR,4139,439487.0
89,2019-09-23,200,66111,INR,60230,397980.0
90,2019-09-27,2,1884,INR,17407,304302.0
91,2019-10-07,1,944,INR,97062,533186.0
92,2019-10-28,7,2574,INR,22637,478348.0
93,2019-11-08,1,630,INR,89402,138890.0
94,2019-11-15,1,472,INR,22934,553999.0
95,2019-11-22,1,944,INR,94097,410839.0
96,2019-11-29,2,1417,INR,69318,137701.0
97,2019-12-06,1,1259,INR,30973,575990.0
98,2019-12-13,4,3773,INR,95622,410838.0
99,2019-12-20,1,315,INR,75375,397258.0
100,2020-01-09,1,630,INR,67309,133352.0
101,2020-01-10,1,472,INR,32001,150497.0
102,2020-01-17,2,2042,INR,27878,383716.0
103,2020-02-07,1,417,INR,44282,113948.0
104,2020-02-14,1,310,INR,72118,431552.0
105,2020-02-28,1,208,INR,7393,412357.0
106,2020-03-06,1,620,INR,60723,102037.0
107,2020-03-13,1,620,INR,8510,578207.0
108,2020-04-03,1,829,INR,35057,565260.0
109,2020-04-14,4,2694,INR,12548,101351.0
110,2020-04-20,1,102,INR,75828,480203.0
111,2020-05-15,2,528,INR,77161,102842.0
112,2017-10-24,1,380,INR,6335,138891.0
113,2017-10-25,1,560,INR,26962,143143.0
114,2017-10-30,1,560,INR,62482,558957.0
115,2017-11-27,1,1116,INR,49458,489011.0
116,2017-12-11,1,657,INR,55705,428013.0
117,2017-12-12,1,560,INR,3659,116273.0
118,2017-12-19,1,657,INR,15765,478936.0
119,2018-02-12,1,560,INR,98573,477627.0
120,2018-10-19,11,6218,INR,7042,437616.0
121,2017-11-20,7,2426,INR,33021,550910.0
122,2017-11-24,33,15278,INR,79414,342366.0
123,2018-11-14,3,3032,INR,5021,557008.0
124,2019-05-22,2,3194,INR,9751,97199.0
125,2019-05-23,1,912,INR,90157,134569.0
126,2019-05-28,1,1824,INR,81405,183009.0
127,2019-05-29,1,458,INR,22196,174586.0
128,2019-05-31,3,4444,INR,54311,494588.0
129,2019-06-03,1,458,INR,7130,102042.0
130,2019-06-04,1,458,INR,4820,431339.0
131,2019-06-05,1,1824,INR,51986,109550.0
132,2019-06-05,2,2667,INR,60272,477628.0
133,2019-06-06,14,19171,INR,81439,129550.0
134,2019-06-07,1,458,INR,24228,387674.0
135,2019-06-11,1,458,INR,85740,183165.0
136,2019-06-12,1,458,INR,99692,310273.0
137,2019-06-14,1,1370,INR,6099,293915.0
138,2019-06-14,2,2667,INR,20384,131676.0
139,2019-06-17,1,1333,INR,40087,109258.0
140,2019-06-18,1,597,INR,31820,483552.0
141,2019-06-18,7,8889,INR,66852,517939.0
142,2019-06-19,1,1778,INR,20461,154840.0
143,2019-06-28,7,9130,INR,64296,494001.0
144,2018-04-23,1,602,INR,96599,489362.0
145,2018-05-03,2,3227,INR,52610,510109.0
146,2018-05-04,1,449,INR,21899,249335.0
147,2018-05-07,1,449,INR,70074,174458.0
148,2018-05-09,1,449,INR,37250,129691.0
149,2018-05-11,1,449,INR,72426,139864.0
150,2018-05-11,7,9880,INR,18079,486482.0
151,2018-05-16,1,301,INR,62919,109839.0
152,2018-05-16,6,7954,INR,94707,102219.0
153,2018-05-17,1,2153,INR,97031,364571.0
154,2018-05-17,4,5306,INR,41199,413342.0
155,2018-05-18,1,1801,INR,77922,387177.0
156,2018-05-23,2,2699,INR,51642,141706.0
157,2018-05-24,1,1616,INR,76180,501701.0
158,2018-05-25,2,2245,INR,72634,456922.0
159,2018-05-26,1,0,INR,59836,102582.0
160,2018-05-28,1,903,INR,26473,405031.0
161,2018-05-29,4,5306,INR,79770,263185.0
162,2018-05-30,3,3778,INR,88503,109549.0
163,2018-05-31,1,537,INR,83948,487422.0
164,2018-05-31,1,1417,INR,36470,163436.0
165,2018-05-31,4,5306,INR,28527,282630.0
166,2018-06-01,1,472,INR,63006,255651.0
167,2018-06-01,3,4051,INR,18923,549624.0
168,2018-06-01,10,14815,INR,94662,413451.0
169,2018-06-06,3,4495,INR,73355,523044.0
170,2018-06-07,2,2690,INR,79063,102038.0
171,2018-06-07,1,1417,INR,38422,403754.0
172,2018-06-08,1,449,INR,65501,545808.0
173,2018-06-08,18,23866,INR,390,439417.0
174,2018-06-11,1,898,INR,74308,390478.0
175,2018-06-11,3,4940,INR,10829,103649.0
176,2018-06-13,1,449,INR,18627,430451.0
177,2018-06-14,1,2153,INR,95761,518548.0
178,2018-06-14,1,472,INR,65289,518819.0
179,2018-06-14,1,449,INR,12714,447526.0
180,2018-06-14,4,5306,INR,44862,102579.0
181,2018-06-15,3,3602,INR,72306,126128.0
182,2018-06-18,4,3583,INR,41736,518803.0
183,2018-06-18,4,4954,INR,52484,377434.0
184,2018-06-21,1,1889,INR,28492,442180.0
185,2018-07-18,1,472,INR,69086,129551.0
186,2018-07-18,1,1352,INR,70248,577891.0
187,2018-07-19,1,1616,INR,79404,462172.0
188,2018-07-19,1,449,INR,23302,104481.0
189,2018-07-23,1,1801,INR,88139,536499.0
190,2018-07-30,1,1801,INR,89503,532670.0
191,2019-01-25,1,449,INR,63311,113036.0
192,2019-02-04,1,449,INR,38163,536328.0
193,2019-02-20,1,449,INR,41993,109548.0
194,2019-03-13,1,444,INR,39307,364627.0
195,2019-03-28,1,444,INR,97619,104147.0
196,2019-04-30,1,0,INR,95267,553404.0
197,2017-10-06,1,505,INR,76228,271964.0
198,2017-10-13,1,1514,INR,88936,102041.0
199,2017-10-20,1,2023,INR,94962,497063.0
200,2017-10-27,25,37889,INR,64618,378028.0
201,2018-02-08,1,593,INR,26758,549633.0
202,2018-02-16,1,597,INR,75559,143194.0
203,2018-02-26,1,2389,INR,51444,327008.0
204,2018-03-01,1,593,INR,13095,497638.0
205,2018-03-02,1,1194,INR,16154,580202.0
206,2018-03-05,8,13736,INR,99658,377292.0
207,2018-03-12,1,1194,INR,82709,102571.0
208,2018-04-03,1,597,INR,55321,476303.0
209,2018-04-09,1,597,INR,9717,451742.0
210,2018-04-13,1,597,INR,22741,451743.0
211,2018-04-24,17,17472,INR,47750,116272.0
212,2018-04-26,2,2986,INR,79403,102581.0
213,2018-04-27,2,2986,INR,11797,508701.0
214,2018-05-07,1,597,INR,78696,549383.0
215,2018-05-14,1,1194,INR,36572,440950.0
216,2018-05-18,1,796,INR,64023,355561.0
217,2018-05-31,26,26722,INR,44725,462505.0
218,2018-06-11,1,796,INR,40667,186264.0
219,2018-06-13,1,796,INR,74544,211142.0
220,2018-06-14,1,3185,INR,54146,489422.0
221,2018-06-18,1,796,INR,39568,401391.0
222,2018-06-22,1,2389,INR,91996,354669.0
223,2018-06-29,1,3185,INR,1471,519622.0
224,2018-07-09,2,5574,INR,75222,153339.0
225,2018-07-13,1,796,INR,95293,443028.0
226,2018-07-20,1,796,INR,21716,226773.0
227,2018-07-27,1,796,INR,3973,385197.0
228,2018-08-03,1,1593,INR,80534,431115.0
229,2018-10-12,1,514,INR,5105,508583.0
230,2018-10-17,1,4759,INR,41699,132538.0
231,2018-10-25,1,1190,INR,93225,394140.0
232,2018-10-26,1,1190,INR,41086,124500.0
233,2018-10-31,3,4106,INR,95693,370259.0
234,2018-11-05,2,5949,INR,17157,533855.0
235,2018-11-06,2,5949,INR,26770,125180.0
236,2018-12-07,1,514,INR,91483,263297.0
237,2018-12-14,1,514,INR,22416,410629.0
238,2018-12-21,1,514,INR,21591,461084.0
239,2018-12-28,1,0,INR,14159,499377.0
240,2019-01-28,1,514,INR,81159,390901.0
241,2019-02-01,1,514,INR,33026,127306.0
242,2019-02-08,1,1028,INR,70197,111386.0
243,2019-02-15,1,2056,INR,68124,308169.0
244,2019-02-22,1,796,INR,31683,537808.0
245,2019-02-22,1,1542,INR,26824,433648.0
246,2019-03-01,1,514,INR,20053,115931.0
247,2019-03-08,1,1028,INR,20595,579047.0
248,2019-04-12,1,796,INR,64678,174464.0
249,2019-06-03,1,796,INR,57538,163435.0
250,2019-06-17,1,1593,INR,1389,417015.0
251,2019-06-24,1,796,INR,27107,376602.0
252,2019-07-15,1,611,INR,239,546139.0
253,2019-08-16,1,1028,INR,21233,102578.0
254,2019-09-27,1,514,INR,29788,503432.0
255,2019-10-04,1,514,INR,41340,514288.0
256,2019-10-18,1,514,INR,36937,552372.0
257,2019-10-21,1,796,INR,17267,385938.0
258,2019-10-25,1,796,INR,66837,164297.0
259,2019-11-01,1,514,INR,35279,579040.0
260,2019-11-04,1,796,INR,93608,539663.0
261,2019-11-08,1,1593,INR,26109,120193.0
262,2019-11-08,1,514,INR,32256,102631.0
263,2019-11-15,1,3185,INR,60760,189441.0
264,2019-11-15,1,514,INR,30203,102039.0
265,2019-11-18,1,514,INR,98708,127463.0
266,2019-12-06,2,4778,INR,45289,109387.0
267,2019-12-06,1,514,INR,98692,306094.0
268,2019-12-13,4,10352,INR,49142,102577.0
269,2019-12-20,1,796,INR,68017,242722.0
270,2020-06-12,1,1028,INR,71065,528374.0
271,2020-06-16,1,514,INR,45681,355563.0
272,2018-06-05,33,29648,INR,76291,417020.0
273,2017-10-10,240,143560,INR,82777,385636.0
274,2017-10-11,7,6204,INR,30666,546127.0
275,2017-10-16,1,495,INR,6590,195788.0
276,2017-10-23,20,25130,INR,51094,102040.0
277,2017-10-25,1,986,INR,3896,414252.0
278,2017-11-02,13,23898,INR,90057,484449.0
279,2017-11-03,1,296,INR,43718,530955.0
280,2017-11-08,1,356,INR,20705,554195.0
281,2017-10-10,100,41241,"INR",92578,450591.0
282,2018-05-08,3,-1,"INR",357,509389.0
283,2018-04-06,1,875,"INR",73050,385811.0
284,2018-04-11,1,583,"INR",38727,419356.0
285,2018-06-18,6,7176,"INR",71407,103646.0
286,2017-11-23,39,21412,"INR",89997,120977.0
287,2017-11-27,35,19213,"INR",23396,372399.0
288,2017-11-28,310,170185,"INR",65386,455954.0
289,2017-11-29,184,101194,"INR",76708,292480.0
290,2017-11-30,35,19213,"INR",44323,512637.0
291,2017-11-29,17,9426,"INR",21594,372402.0
292,2017-12-19,1,218,"INR",33803,530390.0
293,2018-08-07,5,3093,"INR",7671,372748.0
294,2017-12-04,58,30306,"INR",77012,236464.0
295,2018-06-29,38,52319,"INR",33103,257314.0
296,2018-07-02,93,126296,"INR",23660,525290.0
297,2018-07-03,79,107500,"INR",75074,372401.0
298,2018-07-04,1,273,"INR",45986,566600.0
299,2018-07-06,3,3574,"INR",37307,187581.0
300,2018-07-13,1,273,"INR",5009,364460.0
301,2019-06-07,20,23403,"INR",33457,350908.0
302,2019-07-29,81,76329,"INR",4443,103645.0
303,2019-08-01,5,4542,"INR",25386,547588.0
304,2019-09-19,18,16579,"INR",70923,363377.0
305,2019-09-27,90,105301,"INR",32671,365286.0
306,2017-10-09,1,185,"INR",62918,174578.0
307,2017-10-13,1,556,"INR",64287,207907.0
308,2017-10-27,1,551,"INR",85714,480302.0
309,2017-11-03,1,167,"INR",68740,229462.0
310,2017-11-06,1,333,"INR",69686,509922.0
311,2017-11-10,1,500,"INR",12259,244302.0
312,2017-11-16,1,333,"INR",35344,229475.0
313,2017-11-17,1,333,"INR",9088,417740.0
314,2017-11-27,1,500,"INR",24769,388007.0
315,2017-12-04,1,833,"INR",50624,300380.0
316,2017-12-08,1,167,"INR",5811,190030.0
317,2017-12-11,1,833,"INR",83331,180225.0
318,2017-12-18,1,1000,"INR",66009,186918.0
319,2017-12-27,2,1833,"INR",76381,383698.0
320,2017-12-28,1,167,"INR",40866,365232.0
321,2018-01-05,1,167,"INR",11018,383695.0
322,2018-01-08,1,833,"INR",17420,551764.0
323,2018-01-22,1,167,"INR",84389,546062.0
324,2018-02-21,26,10657,"INR",16476,193441.0
325,2018-02-23,1,167,"INR",461,165411.0
326,2018-08-03,1,157,"INR",34583,127035.0
327,2018-08-24,1,315,"INR",1140,281294.0
328,2018-09-21,1,630,"INR",34365,383696.0
329,2018-09-28,1,315,"INR",25837,383699.0
330,2018-11-09,1,157,"INR",43993,406415.0
331,2018-11-16,1,472,"INR",1656,400606.0
332,2018-12-07,1,157,"INR",19158,127034.0
333,2018-12-14,1,157,"INR",37140,496555.0
334,2019-01-25,1,315,"INR",8319,368710.0
335,2019-02-01,1,157,"INR",25322,302166.0
336,2019-02-08,1,472,"INR",34568,116271.0
337,2019-02-15,1,472,"INR",34540,332173.0
338,2019-02-22,1,315,"INR",99740,512784.0
339,2019-03-01,1,472,"INR",42835,394530.0
340,2019-03-08,1,315,"INR",17023,385163.0
341,2019-03-15,1,157,"INR",75186,414910.0
342,2019-03-22,1,315,"INR",37337,437594.0
343,2019-03-29,1,315,"INR",84163,367523.0
344,2019-04-05,1,315,"INR",57605,370137.0
345,2019-04-12,1,787,"INR",41023,530618.0
346,2019-04-23,1,630,"INR",47164,484451.0
347,2019-04-29,1,472,"INR",78967,472498.0
348,2019-05-06,1,315,"INR",19311,381376.0
349,2019-05-10,1,787,"INR",26444,423682.0
350,2019-05-17,1,1102,"INR",6563,472852.0
351,2019-06-03,1,787,"INR",94769,109260.0
352,2019-06-07,1,157,"INR",42597,110560.0
353,2019-06-17,1,315,"INR",71000,518550.0
354,2019-06-24,1,315,"INR",13451,568511.0
355,2019-06-28,1,315,"INR",653,369083.0
356,2019-07-05,1,472,"INR",28963,109771.0
357,2019-07-12,1,630,"INR",30377,492183.0
358,2019-07-19,1,944,"INR",86094,152803.0
359,2019-07-26,2,1417,"INR",25079,164125.0
360,2019-08-02,2,1417,"INR",80312,350307.0
361,2019-08-09,1,787,"INR",81715,502166.0
362,2019-08-16,1,1259,"INR",33376,531799.0
363,2019-09-02,2,1574,"INR",69029,380534.0
364,2019-09-03,1,630,"INR",35281,394135.0
365,2019-09-06,1,157,"INR",18749,153648.0
366,2019-09-13,2,1417,"INR",66146,556855.0
367,2019-09-20,1,630,"INR",49872,489107.0
368,2019-09-23,200,66111,"INR",88104,569383.0
369,2019-09-27,2,1884,"INR",30000,531219.0
370,2019-10-07,1,944,"INR",27589,500770.0
371,2019-10-28,7,2574,"INR",86321,553063.0
372,2019-11-08,1,630,"INR",10466,237779.0
373,2019-11-15,1,472,"INR",94974,442389.0
374,2019-11-22,1,944,"INR",89592,547753.0
375,2019-11-29,2,1417,"INR",78942,166205.0
376,2019-12-06,1,1259,"INR",14284,173008.0
377,2019-12-13,4,3773,"INR",41986,361206.0
378,2019-12-20,1,315,"INR",15826,153653.0
379,2020-01-09,1,630,"INR",73049,279448.0
380,2020-01-10,1,472,"INR",89028,493220.0
381,2020-01-17,2,2042,"INR",38725,124383.0
382,2020-02-07,1,417,"INR",41101,555105.0
383,2020-02-14,1,310,"INR",31987,326486.0
384,2020-02-28,1,208,"INR",21695,520872.0
385,2020-03-06,1,620,"INR",75245,530620.0
386,2020-03-13,1,620,"INR",65549,479984.0
387,2020-04-03,1,829,"INR",38986,152804.0
388,2020-04-14,4,2694,"INR",63504,432868.0
389,2020-04-20,1,102,"INR",28966,424993.0
390,2020-05-15,2,528,"INR",82951,300432.0
391,2017-10-24,1,380,"INR",90874,532330.0
392,2017-10-25,1,560,"INR",92898,256769.0
393,2017-10-30,1,560,"INR",6894,559895.0
394,2017-11-27,1,1116,"INR",26576,251915.0
395,2017-12-11,1,657,"INR",38410,134577.0
396,2017-12-12,1,560,"INR",29675,523072.0
397,2017-12-19,1,657,"INR",86444,476268.0
398,2018-02-12,1,560,"INR",803,412598.0
399,2018-10-19,11,6218,"INR",14358,452854.0
400,2017-11-20,7,2426,"INR",92104,354044.0
401,2017-11-24,33,15278,"INR",36827,553046.0
402,2018-11-14,3,3032,"INR",74728,288425.0
403,2019-05-22,2,3194,"INR",14635,481576.0
404,2019-05-23,1,912,"INR",79376,368664.0
405,2019-05-28,1,1824,"INR",36957,532732.0
406,2019-05-29,1,458,"INR",97379,404666.0
407,2019-05-31,3,4444,"INR",1353,143559.0
408,2019-06-03,1,458,"INR",32732,183499.0
409,2019-06-04,1,458,"INR",22947,395982.0
410,2019-06-05,1,1824,"INR",63301,569289.0
411,2019-06-05,2,2667,"INR",29054,419787.0
412,2019-06-06,14,19171,"INR",54679,419687.0
413,2019-06-07,1,458,"INR",57104,249645.0
414,2019-06-11,1,458,"INR",42896,332479.0
415,2019-06-12,1,458,"INR",41062,415635.0
416,2019-06-14,1,1370,"INR",97488,479113.0
417,2019-06-14,2,2667,"INR",70126,410836.0
418,2019-06-17,1,1333,"INR",16467,476276.0
419,2019-06-18,1,597,"INR",73121,385489.0
420,2019-06-18,7,8889,"INR",89035,305454.0
421,2019-06-19,1,1778,"INR",31046,570971.0
422,2019-06-28,7,9130,"INR",77590,405673.0
423,2018-04-23,1,602,"INR",55008,377020.0
424,2018-05-03,2,3227,"INR",92915,420152.0
425,2018-05-04,1,449,"INR",64903,403440.0
426,2018-05-07,1,449,"INR",75131,258830.0
427,2018-05-09,1,449,"INR",14129,361216.0
428,2018-05-11,1,449,"INR",70550,192853.0
429,2018-05-11,7,9880,"INR",67790,412322.0
430,2018-05-16,1,301,"INR",23858,480140.0
431,2018-05-16,6,7954,"INR",56549,530382.0
432,2018-05-17,1,2153,"INR",981,507033.0
433,2018-05-17,4,5306,"INR",31048,441979.0
434,2018-05-18,1,1801,"INR",26610,545216.0
435,2018-05-23,2,2699,"INR",49415,480225.0
436,2018-05-24,1,1616,"INR",52483,387711.0
437,2018-05-25,2,2245,"INR",83543,258777.0
438,2018-05-26,1,0,"INR",38713,389125.0
439,2018-05-28,1,903,"INR",12000,489340.0
440,2018-05-29,4,5306,"INR",36815,505432.0
441,2018-05-30,3,3778,"INR",81421,571985.0
442,2018-05-31,1,537,"INR",51098,568905.0
443,2018-05-31,1,1417,"INR",7671,146227.0
444,2018-05-31,4,5306,"INR",70112,146243.0
445,2018-06-01,1,472,"INR",30733,146156.0
446,2018-06-01,3,4051,"INR",81739,218090.0
447,2018-06-01,10,14815,"INR",10374,146192.0
448,2018-06-06,3,4495,"INR",12121,239690.0
449,2018-06-07,2,2690,"INR",3418,524742.0
450,2018-06-07,1,1417,"INR",9465,466231.0
451,2018-06-08,1,449,"INR",98989,312572.0
452,2018-06-08,18,23866,"INR",92306,146161.0
453,2018-06-11,1,898,"INR",53345,570337.0
454,2018-06-11,3,4940,"INR",20294,323083.0
455,2018-06-13,1,449,"INR",46862,482021.0
456,2018-06-14,1,2153,"INR",90813,436752.0
457,2018-06-14,1,472,"INR",28092,519105.0
458,2018-06-14,1,449,"INR",38693,414955.0
459,2018-06-14,4,5306,"INR",77252,459695.0
460,2018-06-15,3,3602,"INR",28435,303459.0
461,2018-06-18,4,3583,"INR",65812,572668.0
462,2018-06-18,4,4954,"INR",71560,538526.0
463,2018-06-21,1,1889,"INR",82969,326274.0
464,2018-07-18,1,472,"INR",52413,276830.0
465,2018-07-18,1,1352,"INR",52147,297700.0
466,2018-07-19,1,1616,"INR",63512,362114.0
467,2018-07-19,1,449,"INR",45741,324273.0
468,2018-07-23,1,1801,"INR",22039,326295.0
469,2018-07-30,1,1801,"INR",47158,326297.0
470,2019-01-25,1,449,"INR",56053,218114.0
471,2019-02-04,1,449,"INR",6607,326279.0
472,2019-02-20,1,449,"INR",26271,326275.0
473,2019-03-13,1,444,"INR",97022,326272.0
474,2019-03-28,1,444,"INR",24967,146144.0
475,2019-04-30,1,0,"INR",33710,544517.0
476,2017-10-06,1,505,"INR",58053,146135.0
477,2017-10-13,1,1514,"INR",86946,430688.0
478,2017-10-20,1,2023,"INR",51682,524405.0
479,2017-10-27,25,37889,"INR",33077,228898.0
480,2018-02-08,1,593,"INR",15565,227061.0
481,2018-02-16,1,597,"INR",3187,107348.0
482,2018-02-26,1,2389,"INR",63914,102141.0
483,2018-03-01,1,593,"INR",34338,133317.0
484,2018-03-02,1,1194,"INR",99265,396907.0
485,2018-03-05,8,13736,"INR",12221,106153.0
486,2018-03-12,1,1194,"INR",55544,191297.0
487,2018-04-03,1,597,"INR",43975,140286.0
488,2018-04-09,1,597,"INR",37842,129221.0
489,2018-04-13,1,597,"INR",17872,216571.0
490,2018-04-24,17,17472,"INR",4964,148652.0
491,2018-04-26,2,2986,"INR",25717,226493.0
492,2018-04-27,2,2986,"INR",49237,106660.0
493,2018-05-07,1,597,"INR",90836,144087.0
494,2018-05-14,1,1194,"INR",7296,354337.0
495,2018-05-18,1,796,"INR",37994,133984.0
496,2018-05-31,26,26722,"INR",77880,106644.0
497,2018-06-11,1,796,"INR",91609,459039.0
498,2018-06-13,1,796,"INR",74137,106649.0
499,2018-06-14,1,3185,"INR",88366,107356.0
500,2018-06-18,1,796,"INR",88793,525705.0
501,2018-06-22,1,2389,"INR",60885,156626.0
502,2018-06-29,1,3185,"INR",15704,542392.0
503,2018-07-09,2,5574,"INR",25161,107347.0
504,2018-07-13,1,796,"INR",42452,129223.0
505,2018-07-20,1,796,"INR",91783,106647.0
506,2018-07-27,1,796,"INR",44011,142469.0
507,2018-08-03,1,1593,"INR",95681,166872.0
508,2018-10-12,1,514,"INR",50851,391689.0
509,2018-10-17,1,4759,"INR",66233,317459.0
510,2018-10-25,1,1190,"INR",89429,288965.0
511,2018-10-26,1,1190,"INR",62412,474522.0
512,2018-10-31,3,4106,"INR",28403,397298.0
513,2018-11-05,2,5949,"INR",30430,487740.0
514,2018-11-06,2,5949,"INR",34240,106656.0
515,2018-12-07,1,514,"INR",9424,381464.0
516,2018-12-14,1,514,"INR",27135,402612.0
517,2018-12-21,1,514,"INR",24089,437089.0
518,2018-12-28,1,0,"INR",3624,156634.0
519,2019-01-28,1,514,"INR",64033,186059.0
520,2019-02-01,1,514,"INR",10771,351254.0
521,2019-02-08,1,1028,"INR",80030,173873.0
522,2019-02-15,1,2056,"INR",32311,147499.0
523,2019-02-22,1,796,"INR",93589,129219.0
524,2019-02-22,1,1542,"INR",82183,231022.0
525,2019-03-01,1,514,"INR",35887,106158.0
526,2019-03-08,1,1028,"INR",74367,317458.0
527,2019-04-12,1,796,"INR",81057,568813.0
528,2019-06-03,1,796,"INR",88160,210529.0
529,2019-06-17,1,1593,"INR",12949,480230.0
530,2019-06-24,1,796,"INR",67709,450577.0
531,2019-07-15,1,611,"INR",93095,167658.0
532,2019-08-16,1,1028,"INR",18042,429042.0
533,2019-09-27,1,514,"INR",46943,387090.0
534,2019-10-04,1,514,"INR",50847,129225.0
535,2019-10-18,1,514,"INR",45608,129222.0
536,2019-10-21,1,796,"INR",36035,563133.0
537,2019-10-25,1,796,"INR",37160,308502.0
538,2019-11-01,1,514,"INR",97325,379784.0
539,2019-11-04,1,796,"INR",66548,106155.0
540,2019-11-08,1,1593,"INR",26926,451858.0
541,2019-11-08,1,514,"INR",56955,346113.0
542,2019-11-15,1,3185,"INR",86772,345169.0
543,2019-11-15,1,514,"INR",77670,488972.0
544,2019-11-18,1,514,"INR",70246,470446.0
545,2019-12-06,2,4778,"INR",9893,260664.0
546,2019-12-06,1,514,"INR",40204,142468.0
547,2019-12-13,4,10352,"INR",78557,106659.0
548,2019-12-20,1,796,"INR",35173,498164.0
549,2020-06-12,1,1028,"INR",58409,129218.0
550,2020-06-16,1,514,"INR",72553,361218.0
551,2018-06-05,33,29648,"INR",24179,106652.0
552,2017-10-10,240,143560,"INR",49796,155345.0
553,2017-10-11,7,6204,"INR",89408,541876.0
554,2017-10-16,1,495,"INR",77467,140285.0
555,2017-10-23,20,25130,"INR",80625,354470.0
556,2017-10-25,1,986,"INR",38515,381614.0
557,2017-11-02,13,23898,"INR",2661,460534.0
558,2017-11-03,1,296,"INR",55822,424638.0
