,f_id,item,veg_or_non_veg
309,fd316,Walnut Brownie,Veg
310,fd317,Chocolaty Frappe,Veg
311,fd319,Cheese Garlic Bread,Veg
312,fd320,Exotic Garlic Bread,Veg
313,fd321,Paneer Wrap,Veg
314,fd322,Mexican Veg Wrap,Veg
315,fd323,Paneer Tikka Sub,Veg
316,fd324,8 ' Regular Farm House Pizza,Veg
317,fd325,10 ' Medium Farm House Pizza,Veg
318,fd326,13 'Large Farm House Pizza,Veg
319,fd327,American Cheese Burger,Veg
320,fd329,Veg Burger,Veg
321,fd330,Chicken Burger,Non-veg
322,fd331,8 ' Regular Spicy Paneer Pizza,Veg
323,fd332,13 ' Large Spicy Paneer Pizza,Veg
324,fd334,8 ' Regular Paneer Makhani Pizza,Veg
325,fd335,13 ' Large Paneer Makhani Pizza,Veg
326,fd336,Red Penne Alfredo Pasta,Veg
327,fd337,White Penne Alfredo Pasta,Veg
328,fd338,Mix Sauce Penne Alfredo Pasta,Veg
329,fd339,10 ' Medium Loaded Chicken Pizza,Non-veg
330,fd340,Paneer Tikka Salad,Veg
331,fd341,Chicken Delight Salad,Non-veg
332,fd342,8 ' Regular Chicken Tikka Pizza,Non-veg
333,fd343,13 ' Large Tandoori Chicken Pizza,Non-veg
334,fd344,2 Strawberry Shake + 2 Punjabi Paneer Cruncher (Without Onion + Garlic) + 1 Mint Mojito Mocktail,Veg
335,fd345,2 Butterscotch Shake + 2 Red Penne Mushroom Pata (Without Onion + Garlic) + 3 Veg Burger (Without Onion + Garlic),Veg
336,fd346,3 Piece 8' Regular Spicy Corn Tango Pizza (Without Onion + Garlic) + 3 Choclate Shakes,Veg
337,fd347,3 American Cheese Burger (Without Onion + Garlic) + 3 Tcd Special Shake,Veg
338,fd348,3 Oreo Shake + 3 Paneer Wrap (Without Onion + Garlic),Veg
339,fd349,Americano Black Coffee,Veg
340,fd350,Cappuccino Coffee,Veg
341,fd351,Hot Chocolate Coffee,Veg
342,fd352,Hazelnut Cappuccino Coffee,Veg
343,fd353,Cookie Cappuccino Coffee,Veg
344,fd355,Irish Cafe Latte Coffee,Veg
345,fd356,Caramel Latte Coffee,Veg
346,fd358,Assam Tea,Veg
347,fd359,Green Tea,Veg
348,fd360,Lemon Ice Tea,Veg
349,fd361,Peach Ice Tea,Veg
350,fd362,Strawberry Ice Tea,Veg
351,fd363,Classic Lemonade,Veg
352,fd364,Strawberry Lemonade,Veg
353,fd365,Mint Lemonade,Veg
354,fd367,TCD Special Shake,Veg
355,fd371,Vanilla Shake,Veg
356,fd372,Greenapple Shake,Veg
357,fd375,Paan Shake,Veg
358,fd376,Orange chocolate shake,Veg
359,fd378,Fruit Sundae,Veg
360,fd379,Paan Sundae,Veg
361,fd380,Devils Own Desi Style Coffee,Veg
362,fd381,Classic Cold Coffee,Veg
363,fd382,Iced Cappuccino Coffee,Veg
364,fd383,Iced Vanilla Cappuccino Coffee,Veg
365,fd384,Cafe Frappe,Veg
366,fd386,Caramel Frappe,Veg
367,fd387,Masala Fries with Dip,Veg
368,fd388,Mexican Tokari,Veg
369,fd389,Cheese Shots,Veg
370,fd390,Veg Fingers,Veg
371,fd391,Triple S,Non-veg
372,fd392,Chicken Finger(peri peri),Non-veg
373,fd393,Chicken Finger 5pc(Barbeque),Non-veg
374,fd395,Seekh Kabab with Dip,Non-veg
375,fd396,Chicken Nuggets,Non-veg
376,fd397,Chicken Popcorn,Non-veg
377,fd398,Chicken Finger (5 Pcs),Non-veg
378,fd399,Plain Garlic Bread,Veg
379,fd401,Chilly Corn Garlic Bread,Veg
380,fd402,Tandoori Cavity,Veg
381,fd404,Roasted Chicken Garlic Bread,Non-veg
382,fd405,Seekh Kabab Garlic Bread,Non-veg
383,fd406,Mint Mojito Mocktail,Veg
384,fd407,Cucumber Lemon Mojito Mocktail,Veg
385,fd408,Meloneez Mocktail,Veg
386,fd409,Candid Apple Mocktail,Veg
387,fd410,TCD Float (Coke with Ice Cream Float) Mocktail,Veg
388,fd411,Lemon Coke Mocktail,Veg
389,fd412,Malt (Taste of Beer) Mocktail,Veg
390,fd413,Blue Curacao,Veg
391,fd414,Spicy Mango,Veg
392,fd416,Seekh Kabab Wrap,Non-veg
393,fd417,Chicken Tikka Wrap,Non-veg
394,fd418,Tandoori Chicken Wrap,Non-veg
395,fd419,Single egg single chicken wrap,Non-veg
396,fd420,Aloo Wrap,Veg
397,fd422,Egg Wrap,Non-veg
398,fd423,Pasta Wrap,Veg
399,fd425,Veg Tikki Sub,Veg
400,fd426,Veg Delight Sub,Veg
401,fd427,Chicken Tikka Sub,Non-veg
402,fd428,Chicken Delight Sub,Non-veg
403,fd429,Saute Chicken Sub,Non-veg
404,fd430,2 Pieces Chicken Tikka Sandwich  +  Classic Lemonade,Non-veg
405,fd431,2 Pieces Paneer Tikka Sandwich + Cappuccino,Veg
406,fd432,1 Veg Burger with Cheese + Classic Cold Coffee,Veg
407,fd433,1 Chicken Burger with Cheese + Classic Cold Coffee,Non-veg
408,fd434,Mexican Veg Wrap + Lemon Coke,Veg
409,fd435,Chicken Wrap + Meloneez,Non-veg
410,fd439,8 ' Regular Special Wonder Pizza,Veg
411,fd440,10 ' Medium Special Wonder Pizza,Veg
412,fd441,13 ' Large Special Wonder Pizza,Veg
413,fd442,Punjabi Paneer Cruncher,Veg
414,fd443,Double Decker Veg Burger,Veg
415,fd445,Exotic Egg Burger,Non-veg
416,fd446,Spicy Chicken Burger,Non-veg
417,fd447,Double Decker Chicken Burger,Non-veg
418,fd448,American chicken burger,Non-veg
419,fd451,Spicy Veg Burger,Veg
420,fd453,8 ' Regular Tandoori Paneer Pizza,Veg
421,fd454,10 ' Medium Tandoori Paneer Pizza,Veg
422,fd455,13 ' Large Tandoori Paneer Pizza,Veg
423,fd456,8 ' Regular Hot & Sweet Delight Pizza,Veg
424,fd457,10 'Medium Hot & Sweet Delight Pizza,Veg
425,fd458,13 ' Large Hot & Sweet Delight Pizza,Veg
426,fd459,8 ' Regular Veg Feast Pizza,Veg
427,fd460,10 ' Medium Veg Feast Pizza,Veg
428,fd461,13 ' Large Veg Feast Pizza,Veg
429,fd462,8 ' Regular Spicy Corn Tango Pizza,Veg
430,fd463,13 ' Large Spicy Corn Tango Pizza,Veg
431,fd465,10 'Medium Spicy Paneer Pizza,Veg
432,fd467,Corn Delight Sandwich,Veg
433,fd468,Veg Cheese Sandwich,Veg
434,fd470,Paneer Makhani Sandwich,Veg
435,fd471,Mexican Sandwich,Veg
436,fd472,Veg Delight Sandwich,Veg
437,fd473,Chicken Tikka Sandwich,Non-veg
438,fd474,Egg Delight Sandwich,Non-veg
439,fd475,Chicken Delight Sandwich,Non-veg
440,fd476,Double Decker Ontario Sandwich,Non-veg
441,fd477,Schezwan Veg sandwich,Veg
442,fd478,Schezwan chicken sandwich,Non-veg
443,fd479,Cheesy Marghrita (Medium),Veg
444,fd480,Cheesy Margheritta Pizza (Large),Veg
445,fd481,Cheesy  Margherita (Regular),Veg
446,fd483,10 ' Medium Paneer Makhani Pizza,Veg
447,fd486,Red Penne Mushroom Pasta,Veg
448,fd487,Red Exotic Veggie Pasta,Veg
449,fd488,Red Penne Chicken Pasta,Non-veg
450,fd490,White Penne Mushroom Pasta,Veg
451,fd491,White Exotic Veggie Pasta,Veg
452,fd492,White Penne Chicken Pasta,Non-veg
453,fd494,Mix Sauce Penne Mushroom Pasta,Veg
454,fd495,Mix Sauce Exotic Veggie Pasta,Veg
455,fd496,Mix Sauce Penne Chicken Pasta,Non-veg
456,fd497,American crunchy veg pasta,Veg
457,fd498,American Crunchy chicken pasta,Non-veg
458,fd499,8 ' Regular Spicy Chicken Pizza,Non-veg
459,fd500,10 ' Medium Spicy Chicken Pizza,Non-veg
460,fd501,13 ' Large Spicy Chicken Pizza,Non-veg
461,fd502,8 ' Regular Chicken Love Pizza,Non-veg
462,fd503,10 ' Medium Chicken Love Pizza,Non-veg
463,fd504,13 ' Large Chicken Love Pizza,Non-veg
464,fd505,8 ' Regular Loaded Chicken Pizza,Non-veg
465,fd507,13 ' Large Loaded Chicken Pizza,Non-veg
466,fd508,8 ' Regular Hawaiian Delight Pizza,Non-veg
467,fd509,10 ' Medium Hawaiian Delight Pizza,Non-veg
468,fd510,13 ' Large Hawaiian Delight Pizza,Non-veg
469,fd511,8 ' Regular Golden Delight Pizza,Non-veg
470,fd512,10 ' Medium Golden Delight Pizza,Non-veg
471,fd513,13 ' Large Golden Delight Pizza,Non-veg
472,fd515,Veg Tikki Salad,Veg
473,fd516,Veg Delight Salad,Veg
474,fd517,Chicken Tikka Salad,Non-veg
475,fd519,Saute Chicken Salad,Non-veg
476,fd520,Egg Salad,Non-veg
477,fd521,Nacho Salad,Veg
478,fd522,Crispy veg saled,Veg
479,fd524,10 ' Medium Chicken Tikka Pizza,Non-veg
480,fd525,13 ' Large Chicken Tikka Pizza,Non-veg
481,fd526,8 ' Regular Tandoori Chicken Pizza,Non-veg
482,fd527,10 ' Medium Tandoori Chicken Pizza,Non-veg
483,fd529,1 Aloo Tikki Burger + 1 Single Topping Onion Pizza,Veg
484,fd530,1 Aloo Tikki Burger + 1 Single Topping Corn Pizza,Veg
485,fd531,Malai Chaap,Veg
486,fd532,Afghani Chaap,Veg
487,fd533,Tandoori Chaap,Veg
488,fd534,Pudina Chaap,Veg
489,fd535,Achari Chaap,Veg
490,fd536,Chaap Tikka Gravy,Veg
491,fd537,Keema Chaap Gravy,Veg
492,fd538,Paneer Tikka Butter Masala,Veg
493,fd539,Rumali Roti,Veg
494,fd540,Chilli Chaap,Veg
495,fd541,Chilli Mushroom,Veg
496,fd543,Manchurian Gravy,Veg
497,fd544,Chilli Potato,Veg
498,fd545,Honey Chilli Potato,Veg
499,fd546,French Fry,Veg
500,fd548,Momos (10 Pcs),Veg
501,fd549,Fried Momos (10 Pcs),Veg
502,fd550,Tandoori Momos (8 Pcs),Veg
503,fd551,Malai Paneer,Veg
504,fd552,Veg Chow mien,Veg
505,fd553,Cheese Chow mien,Veg
506,fd554,Singapore Chow mien,Veg
507,fd555,Chaap Roll,Veg
508,fd556,Combos,Veg
509,fd562,Irani Chaap,Veg
510,fd563,Fried Chaap,Veg
511,fd567,Kadai Paneer,Veg
512,fd568,Mushroom Tikka Masala,Veg
513,fd581,Masala Fried Momos (8 Pcs),Veg
514,fd582,Veg Manchow Soup,Veg
515,fd584,Afghani Paneer,Veg
516,fd585,Irani Paneer,Veg
517,fd586,Tandoori Paneer,Veg
518,fd587,Pudina Paneer,Veg
519,fd588,Achari Paneer,Veg
520,fd589,Golden Fried Paneer,Veg
521,fd590,Malai Mushroom,Veg
522,fd591,Afghani Mushroom,Veg
523,fd592,Irani Mushroom,Veg
524,fd593,Tandoori Mushroom,Veg
525,fd594,Pudina Mushroom,Veg
526,fd595,Achari Mushroom,Veg
527,fd596,Golden Fried Mushroom,Veg
528,fd598,Veg Hakka Chow mien,Veg
529,fd601,Mixed Veg Chow mien,Veg
530,fd602,Chaap Chow mien,Veg
531,fd605,Mushroom Roll,Veg
532,fd606,Mixed Roll,Veg
533,fd608,Junior,Veg
534,fd609,Texas,Veg
535,fd610,New Yorker,Veg
536,fd611,Paneer Crisp,Veg
537,fd612,Giga Bite,Veg
538,fd613,Mexican Paneer,Veg
539,fd614,Veg Mountain,Veg
540,fd615,Compact Burger,Non-veg
541,fd616,Bad Boy,Non-veg
542,fd617,Big Devil,Non-veg
543,fd618,Illegal Burger,Non-veg
544,fd619,Grilled Chicken Burger,Non-veg
545,fd620,Crispy Chicken Burger,Non-veg
546,fd621,The Heavy Driver,Non-veg
547,fd622,Chicken Mountain,Non-veg
548,fd623,Veg Wrap,Veg
549,fd625,Mexican Tortilla,Veg
550,fd626,Peri Peri Paneer Wrap,Veg
551,fd627,Chicken Barbeque,Non-veg
552,fd628,Chicken Crust Wrap,Non-veg
553,fd629,Chicken Salami Wrap,Non-veg
554,fd630,Crispy Chicken Wrap,Non-veg
555,fd632,Chicken Southern Spice,Non-veg
556,fd633,Warm Up Sandwich,Veg
557,fd634,Cheesy Corn Sandwich,Veg
558,fd635,Mexican Wave Sandwich,Veg
559,fd637,Chicken Salami,Non-veg
560,fd638,Saucy Mexicano,Non-veg
561,fd639,Chicken Paradise,Non-veg
562,fd640,Fiery Chicken,Non-veg
563,fd641,Cheese & Onion,Veg
564,fd642,Cheese & Corn,Veg
565,fd643,Cheese & Paneer,Veg
566,fd644,Queen Margherita [Small],Veg
567,fd645,Veggie Garden [Small],Veg
568,fd646,Corn & Olive [Small],Veg
569,fd647,Farm Fresh [Small],Veg
570,fd648,Paneer Bingo [Small],Veg
571,fd649,Mexican Pizza [Small],Veg
572,fd650,Paneer Tikka [Small],Veg
573,fd651,Grills Special [Small],Veg
574,fd652,Queen Margherita [Large],Veg
575,fd653,Corn & Olive [Large],Veg
576,fd654,Farm Fresh [Large],Veg
577,fd655,Paneer Bingo [Large],Veg
578,fd656,Mexican Pizza [Large],Veg
579,fd657,Paneer Tikka [Large],Veg
580,fd658,Garlic Exotica [Large],Veg
581,fd659,Grills Special [Large],Veg
582,fd660,Cheese & Capsicum,Veg
583,fd661,Veggie Garden [Large],Veg
584,fd662,The Lord of Cheese [Small],Veg
585,fd663,The Lord of Cheese [Large],Veg
586,fd664,Garlic Exotica [Small],Veg
587,fd666,Loaded Garlic Bread,Veg
588,fd667,Grilled Chicken Pizza [Small],Non-veg
589,fd668,Chicken Makhani Pizza [Small],Non-veg
590,fd669,Chicken Monster Pizza [Small],Non-veg
591,fd670,Grilled Chicken Pizza [Large],Non-veg
592,fd671,Chicken Kebab Pizza [Large],Non-veg
593,fd672,Chicken Makhani Pizza [Large],Non-veg
594,fd673,Peri Peri Chicken Pizza [Large],Non-veg
595,fd674,Chicken Monster Pizza [Large],Non-veg
596,fd675,Chicken Kebab Pizza [Small],Non-veg
597,fd676,Peri Peri Chicken Pizza [Small],Non-veg
598,fd677,Veg White Sauce Pasta,Veg
599,fd678,Veg Red Sauce Pasta,Veg
600,fd679,Veg Mix Sauce Pasta,Veg
601,fd680,Tandoori Pasta,Veg
602,fd681,Chicken White Sauce Pasta,Non-veg
603,fd682,Chicken Red Sauce Pasta,Non-veg
604,fd683,Chicken Mix Sauce Pasta,Non-veg
605,fd684,Chicken Tandoori Pasta,Non-veg
606,fd686,Naughty Strawberry,Veg
607,fd689,Black Currant Shake,Veg
608,fd691,Caramel Coffee,Veg
609,fd692,Classic Oreo,Veg
610,fd693,Chocolate Oreo,Veg
611,fd694,Veryberry Oreo,Veg
612,fd696,Virgin Mojito,Veg
613,fd697,Peach Mojito,Veg
614,fd698,Blueberry Mojito,Veg
615,fd699,Watermelon Mojito,Veg
616,fd700,Green Apple Mojito,Veg
617,fd702,Chicken Leg [2 Pcs],Non-veg
618,fd703,Chicken Wings [6 Pcs],Non-veg
619,fd704,Chicken Strips [3 Pcs],Non-veg
620,fd705,Peri Peri Chicken Popcorn,Non-veg
621,fd706,Butter Chicken Popcorn,Non-veg
622,fd707,Veg Crunch,Veg
623,fd708,Paneer Crunch,Veg
624,fd709,Chicken Salad,Non-veg
625,fd710,Chicken Protein Diet,Non-veg
626,fd711,Fiery Chicken Salad,Non-veg
627,fd712,Chicken Salami Salad,Non-veg
628,fd715,Cheese Loaded Fries,Veg
629,fd716,Peri Peri Potato Pops,Veg
